episode,reward,length,loss,epsilon,elapsed_seconds,global_step,moving_average_reward
1,11.0,11,,0.999791,0.00030141000024741516,11,11.0
2,21.0,21,,0.999392,0.00021337299949664157,32,16.0
3,15.0,15,,0.999107,0.0001317609994657687,47,15.666666666666666
4,21.0,21,,0.998708,0.00017357199976686388,68,17.0
5,26.0,26,,0.998214,0.00017575099991518073,94,18.8
6,19.0,19,,0.997853,0.00014602000010199845,113,18.833333333333332
7,44.0,44,,0.997017,0.0003197169999111793,157,22.428571428571427
8,11.0,11,,0.996808,0.00010154499977943487,168,21.0
9,9.0,9,,0.996637,8.834900017973268e-05,177,19.666666666666668
10,17.0,17,,0.996314,0.0001346159997410723,194,19.4
11,38.0,38,,0.995592,0.0005799480004498037,232,21.09090909090909
12,12.0,12,,0.995364,0.00011786300001404015,244,20.333333333333332
13,15.0,15,,0.995079,0.00012962000073457602,259,19.923076923076923
14,27.0,27,,0.994566,0.00022707500011165394,286,20.428571428571427
15,18.0,18,,0.994224,0.0001643269997657626,304,20.266666666666666
16,11.0,11,,0.994015,0.00034180900001956616,315,19.6875
17,11.0,11,,0.993806,0.0003438100002313149,326,19.176470588235293
18,25.0,25,,0.993331,0.00024674299947946565,351,19.5
19,10.0,10,,0.993141,0.00012136200075474335,361,19.0
20,17.0,17,,0.992818,0.0001719030005915556,378,18.9
21,38.0,38,,0.992096,0.0006069020000722958,416,19.80952380952381
22,10.0,10,,0.991906,0.0001452490005249274,426,19.363636363636363
23,16.0,16,,0.991602,0.00018610099959914805,442,19.217391304347824
24,14.0,14,,0.991336,0.0001480979999541887,456,19.0
25,14.0,14,,0.99107,0.00014094400012254482,470,18.8
26,23.0,23,,0.990633,0.00019983399943157565,493,18.96153846153846
27,19.0,19,0.523413034585806,0.990272,0.17899159400076314,512,18.962962962962962
28,18.0,18,0.3841606378555298,0.98993,0.02637070000037056,530,18.928571428571427
29,17.0,17,0.16880069366272757,0.989607,0.01988753700061352,547,18.862068965517242
30,22.0,22,0.012992550314679234,0.989189,0.03946220699981495,569,18.966666666666665
31,20.0,20,0.003124515706440434,0.988809,0.031835610000598535,589,19.0
32,51.0,51,0.0011251133435186656,0.98784,0.07180652399983956,640,20.0
