episode,mean_reward,std_reward,min_reward,max_reward,mean_length
1,9.6,0.916515138991168,8.0,11.0,9.6
25,9.6,0.916515138991168,8.0,11.0,9.6
50,9.5,0.6708203932499369,9.0,11.0,9.5
75,9.5,0.6708203932499369,9.0,11.0,9.5
100,63.9,19.674602918483515,33.0,95.0,63.9
125,179.5,42.02915654637861,125.0,254.0,179.5
150,168.7,13.289469515371936,146.0,193.0,168.7
175,180.4,40.237296131822774,134.0,279.0,180.4
200,239.4,103.80096338666611,145.0,481.0,239.4
225,206.1,80.35104230811197,123.0,385.0,206.1
250,179.9,91.31861803597336,115.0,447.0,179.9
275,200.8,50.4,133.0,299.0,200.8
300,259.8,92.6097187124548,166.0,481.0,259.8
300,259.8,92.6097187124548,166.0,481.0,259.8
